mileage,make,model,fuel,offerType,price,hp,year,log_price
53000.0,Skoda,Rapid/Spaceback,Gasoline,Used,8999,105.0,2014,9.104979856318357
149786.0,BMW,116,Gasoline,Used,8999,136.0,2014,9.104979856318357
197500.0,Volkswagen,Passat Variant,Diesel,Used,8999,140.0,2014,9.104979856318357
57000.0,Kia,Ceed / cee'd,Gasoline,Used,9000,99.0,2014,9.105090961257085
53286.0,Skoda,Fabia,Gasoline,Used,9100,86.0,2014,9.116139576577355
84721.0,Toyota,Yaris,Gasoline,Used,9200,101.0,2014,9.127067452782361
111000.0,Audi,A1,Gasoline,Used,9200,122.0,2014,9.127067452782361
87500.0,SEAT,Ibiza,Diesel,Used,9290,105.0,2014,9.136801468641313
55000.0,Skoda,Rapid/Spaceback,Gasoline,Used,9300,105.0,2014,9.137877200242468
77000.0,Volkswagen,Polo,Gasoline,Used,9300,90.0,2014,9.137877200242468
166000.0,Volkswagen,Golf Variant,Diesel,Used,9400,105.0,2014,9.148571345578551
55000.0,Ford,C-Max,Gasoline,Used,9450,101.0,2014,9.153875834995056
140000.0,Volkswagen,Golf Variant,Diesel,Used,9990,110.0,2015,9.209439966733019
160000.0,Ford,Focus,Diesel,Used,9999,120.0,2015,9.210340371976184
240000.0,Audi,A4,Diesel,Used,9999,190.0,2015,9.210340371976184
28238.0,Opel,Meriva,Gasoline,Used,10190,140.0,2015,9.229260256828693
114327.0,Opel,Insignia,Diesel,Used,10200,131.0,2015,9.23024103368252
352000.0,Peugeot,Boxer,Diesel,Used,10298,150.0,2015,9.239802082125802
80575.0,Volkswagen,Polo,Diesel,Used,10299,105.0,2015,9.239899174217728
79987.0,Ford,B-Max,Gasoline,Used,10444,105.0,2015,9.253878673990666
166554.0,Skoda,Superb,Diesel,Used,10490,170.0,2015,9.258273025731485
47295.0,Ford,C-Max,Gasoline,Used,10490,101.0,2015,9.258273025731485
90000.0,Opel,Insignia,Diesel,Used,10499,170.0,2015,9.259130536145614
76800.0,Citroen,C4 Cactus,Gasoline,Used,10580,110.0,2015,9.266815218904162
60000.0,Peugeot,208,Gasoline,Used,10750,110.0,2015,9.282754052485227
9500.0,Hyundai,iX20,Gasoline,Used,10750,125.0,2015,9.282754052485227
248000.0,Infiniti,Q70,Diesel,Used,10900,170.0,2015,9.296609807128359
118000.0,Volkswagen,Golf,Diesel,Used,10950,150.0,2015,9.301186055275759
87000.0,Volkswagen,Golf,Gasoline,Used,10950,110.0,2015,9.301186055275759
137000.0,BMW,316,Diesel,Used,10950,116.0,2015,9.301186055275759
29000.0,Suzuki,Swift,Gasoline,Used,8990,94.0,2016,9.103979355984773
198000.0,Volkswagen,Passat Variant,Diesel,Used,8999,120.0,2016,9.104979856318357
192000.0,SsangYong,Korando,Diesel,Used,8999,178.0,2016,9.104979856318357
15000.0,Dacia,Sandero,Gasoline,Used,9000,90.0,2016,9.105090961257085
57800.0,Mazda,2,Gasoline,Used,9250,90.0,2016,9.132486932771318
86900.0,Ford,B-Max,Gasoline,Used,9380,101.0,2016,9.14644164612595
56617.0,Volkswagen,up!,Gasoline,Used,9440,90.0,2016,9.152817185732516
70604.0,Toyota,Yaris,Gasoline,Used,9490,69.0,2016,9.158099260130491
68656.0,Toyota,Yaris,Gasoline,Used,9490,69.0,2016,9.158099260130491
64783.0,Toyota,Yaris,Gasoline,Used,9490,69.0,2016,9.158099260130491
146148.0,Opel,Astra,Diesel,Used,9495,136.0,2016,9.158625936289503
106300.0,Opel,Astra,Diesel,Used,9499,160.0,2016,9.159047077588632
179200.0,Volkswagen,Passat Variant,Diesel,Used,9499,120.0,2016,9.159047077588632
63000.0,Opel,Adam,Gasoline,Used,9500,87.0,2016,9.15915233520675
154494.0,Peugeot,308,Diesel,Used,9500,120.0,2016,9.15915233520675
72500.0,Suzuki,Swift,Gasoline,Used,9650,136.0,2016,9.174816815907135
93300.0,Opel,Astra,Diesel,Used,9680,110.0,2016,9.177920480720072
96999.0,Opel,Astra,Diesel,Used,9690,136.0,2016,9.17895289873455
39990.0,Kia,Ceed / cee'd,Gasoline,Used,9690,101.0,2016,9.17895289873455
66106.0,Audi,A4,Gasoline,Used,20990,150.0,2017,9.951849053414007
68000.0,Kia,Sorento,Diesel,Used,27928,200.0,2017,10.23742085450305
67000.0,Mercedes-Benz,GLC 220,Diesel,Used,34900,170.0,2017,10.460270761075149
55000.0,Audi,A6,Gasoline,Used,34905,252.0,2017,10.460414013184781
32100.0,Mercedes-Benz,E 400,Gasoline,Used,37931,333.0,2017,10.543550362003618
74000.0,smart,forTwo,Gasoline,Used,5555,71.0,2017,8.622633703874234
31500.0,SEAT,Mii,Gasoline,Used,5780,60.0,2017,8.662331957082475
62490.0,SEAT,Mii,Gasoline,Used,6390,60.0,2017,8.762646029650282
100870.0,Volkswagen,up!,Gasoline,Used,6445,60.0,2017,8.771215062375383
35450.0,Skoda,Citigo,Gasoline,Used,6445,60.0,2017,8.771215062375383
65635.0,Volkswagen,up!,Gasoline,Used,6490,60.0,2017,8.778171881033469
83000.0,Toyota,Aygo,Gasoline,Used,6500,69.0,2017,8.77971129020447
35000.0,Dacia,Sandero,Gasoline,Used,6700,90.0,2017,8.81001204797317
35093.0,Volkswagen,up!,Gasoline,Used,6750,60.0,2017,8.81744592104187
66000.0,Fiat,Punto,Gasoline,Used,6799,69.0,2017,8.824677891164198
61000.0,Hyundai,i10,Gasoline,Used,6900,67.0,2017,8.839421607620602
118759.0,Ford,Fiesta,Diesel,Used,6990,95.0,2017,8.852378886511985
31500.0,smart,forFour,Gasoline,Used,6999,71.0,2017,8.85366542803745
77403.0,Ford,Fiesta,Diesel,Used,7090,75.0,2017,8.866581653303996
66990.0,Audi,A6 allroad,Diesel,Used,31880,272.0,2018,10.369765500040804
73500.0,Audi,A4 allroad,Diesel,Used,31980,163.0,2018,10.372897255442528
59990.0,Audi,A4,Diesel,Used,32940,218.0,2018,10.40247336149791
79300.0,Mercedes-Benz,GLC 250,Diesel,Used,34775,204.0,2018,10.456682772668628
46300.0,Audi,Q2,Diesel,Used,34890,190.0,2018,10.459984195277682
54496.0,Audi,A6,Diesel,Used,35480,231.0,2018,10.476752620919227
51878.0,Volkswagen,Tiguan,Diesel,Used,35490,239.0,2018,10.477034422194833
13400.0,Cupra,Ateca,Gasoline,Demonstration,35990,300.0,2018,10.491024186183038
85200.0,Volkswagen,Amarok,Diesel,Used,37700,224.0,2018,10.537441898283253
49900.0,Audi,A6 allroad,Diesel,Used,37950,320.0,2018,10.544051132937742
39580.0,Audi,Q5,Diesel,Used,39444,190.0,2018,10.58266257552919
49394.0,Audi,Q5,Diesel,Used,42480,190.0,2018,10.65681219612839
81750.0,Audi,SQ5,Gasoline,Used,42675,354.0,2018,10.661391980311352
68900.0,Audi,Q5,Diesel,Used,43900,286.0,2018,10.689692377847104
72500.0,Audi,SQ5,Gasoline,Used,44450,354.0,2018,10.702142737876844
109590.0,Audi,Q7,Diesel,Used,44850,272.0,2018,10.711101163782413
28650.0,BMW,M2,Gasoline,Used,44980,370.0,2018,10.713995457369334
93390.0,Audi,A6,Diesel,Used,44984,286.0,2018,10.714084379851219
60188.0,Volvo,XC90,Diesel,Used,45990,235.0,2018,10.736201004154935
52070.0,BMW,X3,Diesel,Used,46890,265.0,2018,10.755581038365076
13710.0,Ford,Focus,Gasoline,Used,26480,150.0,2019,10.184182773688342
27949.0,Audi,A4,Diesel,Used,26880,150.0,2019,10.199174996326047
22500.0,Ford,Focus,Gasoline,Demonstration,26880,150.0,2019,10.199174996326047
57501.0,BMW,X2,Diesel,Used,26970,190.0,2019,10.202517493681471
34450.0,Volkswagen,Tiguan,Diesel,Used,26980,150.0,2019,10.202888193567093
35950.0,Volkswagen,T-Roc,Diesel,Used,27440,150.0,2019,10.219793524324475
12178.0,Audi,A4,Gasoline,Used,27440,150.0,2019,10.219793524324475
41365.0,Volkswagen,Passat Variant,Diesel,Used,27490,190.0,2019,10.221613957361983
31900.0,Mercedes-Benz,Vito,Diesel,Used,27600,163.0,2019,10.225607282932941
45700.0,Audi,A4,Diesel,Used,27980,150.0,2019,10.239280987394974
9243.0,SEAT,Ateca,Gasoline,Used,28250,150.0,2019,10.248884134178173
8650.0,Ford,Kuga,Diesel,Employee's car,28980,179.0,2019,10.274395721835582
17615.0,Skoda,Karoq,Gasoline,Demonstration,28990,150.0,2019,10.274740715974103
4016.0,Mercedes-Benz,GLA 250,Gasoline,Used,29111,211.0,2019,10.278905739291996
9290.0,Ford,Kuga,Diesel,Employee's car,29980,179.0,2019,10.308319126670684
8650.0,Ford,Kuga,Diesel,Employee's car,29980,179.0,2019,10.308319126670684
22900.0,SEAT,Alhambra,Gasoline,Used,29990,150.0,2019,10.30865261563529
2955.0,Audi,A4,Diesel,Used,29994,150.0,2019,10.308785980087194
1060.0,Ford,Transit,Diesel,Used,30452,131.0,2019,10.32393979045254
27500.0,BMW,320,Diesel,Used,30675,190.0,2019,10.33123586888475
23490.0,Audi,A6,Electric/Gasoline,Used,59440,367.0,2020,10.992739502937876
